:ID,producer,title,release_date,created,director,opening_crawl,episode_id:long,edited,url,:LABEL
0,"Gary Kurtz, Rick McCallum",A New Hope,1977-05-25,2014-12-10T14:23:31.880000Z,George Lucas,"It is a period of civil war.
Rebel spaceships, striking
from a hidden base, have won
their first victory against
the evil Galactic Empire.

During the battle, Rebel
spies managed to steal secret
plans to the Empire's
ultimate weapon, the DEATH
STAR, an armored space
station with enough power
to destroy an entire planet.

Pursued by the Empire's
sinister agents, Princess
Leia races home aboard her
starship, custodian of the
stolen plans that can save her
people and restore
freedom to the galaxy....",4,2014-12-20T19:49:45.256000Z,https://swapi.dev/api/films/1/,Film
1,"Gary Kurtz, Rick McCallum",The Empire Strikes Back,1980-05-17,2014-12-12T11:26:24.656000Z,Irvin Kershner,"It is a dark time for the
Rebellion. Although the Death
Star has been destroyed,
Imperial troops have driven the
Rebel forces from their hidden
base and pursued them across
the galaxy.

Evading the dreaded Imperial
Starfleet, a group of freedom
fighters led by Luke Skywalker
has established a new secret
base on the remote ice world
of Hoth.

The evil lord Darth Vader,
obsessed with finding young
Skywalker, has dispatched
thousands of remote probes into
the far reaches of space....",5,2014-12-15T13:07:53.386000Z,https://swapi.dev/api/films/2/,Film
2,"Howard G. Kazanjian, George Lucas, Rick McCallum",Return of the Jedi,1983-05-25,2014-12-18T10:39:33.255000Z,Richard Marquand,"Luke Skywalker has returned to
his home planet of Tatooine in
an attempt to rescue his
friend Han Solo from the
clutches of the vile gangster
Jabba the Hutt.

Little does Luke know that the
GALACTIC EMPIRE has secretly
begun construction on a new
armored space station even
more powerful than the first
dreaded Death Star.

When completed, this ultimate
weapon will spell certain doom
for the small band of rebels
struggling to restore freedom
to the galaxy...",6,2014-12-20T09:48:37.462000Z,https://swapi.dev/api/films/3/,Film
3,Rick McCallum,The Phantom Menace,1999-05-19,2014-12-19T16:52:55.740000Z,George Lucas,"Turmoil has engulfed the
Galactic Republic. The taxation
of trade routes to outlying star
systems is in dispute.

Hoping to resolve the matter
with a blockade of deadly
battleships, the greedy Trade
Federation has stopped all
shipping to the small planet
of Naboo.

While the Congress of the
Republic endlessly debates
this alarming chain of events,
the Supreme Chancellor has
secretly dispatched two Jedi
Knights, the guardians of
peace and justice in the
galaxy, to settle the conflict....",1,2014-12-20T10:54:07.216000Z,https://swapi.dev/api/films/4/,Film
4,Rick McCallum,Attack of the Clones,2002-05-16,2014-12-20T10:57:57.886000Z,George Lucas,"There is unrest in the Galactic
Senate. Several thousand solar
systems have declared their
intentions to leave the Republic.

This separatist movement,
under the leadership of the
mysterious Count Dooku, has
made it difficult for the limited
number of Jedi Knights to maintain 
peace and order in the galaxy.

Senator Amidala, the former
Queen of Naboo, is returning
to the Galactic Senate to vote
on the critical issue of creating
an ARMY OF THE REPUBLIC
to assist the overwhelmed
Jedi....",2,2014-12-20T20:18:48.516000Z,https://swapi.dev/api/films/5/,Film
5,Rick McCallum,Revenge of the Sith,2005-05-19,2014-12-20T18:49:38.403000Z,George Lucas,"War! The Republic is crumbling
under attacks by the ruthless
Sith Lord, Count Dooku.
There are heroes on both sides.
Evil is everywhere.

In a stunning move, the
fiendish droid leader, General
Grievous, has swept into the
Republic capital and kidnapped
Chancellor Palpatine, leader of
the Galactic Senate.

As the Separatist Droid Army
attempts to flee the besieged
capital with their valuable
hostage, two Jedi Knights lead a
desperate mission to rescue the
captive Chancellor....",3,2014-12-20T20:47:52.073000Z,https://swapi.dev/api/films/6/,Film
